site	iso	instance_id	instance_name	instance_abbr	source_url	edition_id	work_id	num_books	num_chapters	num_verses	num_words	text_included
biblehub.com	eng	slt	Smith's Literal Translation		https://biblehub.com/slt/matthew/1.htm	smiths-literal-translation-1876	smiths-literal-translation	27	260	7957	177389	true
biblehub.com	eng	tyndale	Tyndale Bible of 1526		https://biblehub.com/tyndale/matthew/1.htm	tyndale-bible-1526-worms	tyndale-bible	27	260	7957	187992	true
biblehub.com	eng	wbt	Webster's Bible Translation		https://biblehub.com/wbt/matthew/1.htm	webster-bible-1833	webster-bible	27	260	7913	178974	true
biblehub.com	eng	wey	Weymouth New Testament		https://biblehub.com/wey/matthew/1.htm	weymouth-new-testament-1903	weymouth-new-testament	27	260	7913	191640	true
biblehub.com	eng	web	World English Bible		https://biblehub.com/web/matthew/1.htm	world-english-bible-1997	world-english-bible	27	260	7913	173793	true
biblehub.com	eng	worrell	Worrell New Testament		https://biblehub.com/worrell/matthew/1.htm	worrell-new-testament-1904	worrell-new-testament	27	260	7957	182991	true
biblehub.com	eng	worsley	Worsley New Testament		https://biblehub.com/worsley/matthew/1.htm	worsley-new-testament-1770	worsley-new-testament	27	260	7957	185123	true
biblehub.com	eng	ylt	Young's Literal Translation		https://biblehub.com/ylt/matthew/1.htm	youngs-literal-translation-1898	youngs-literal-translation	27	260	7913	185740	true
bibles.org	eng	685d1470fe4d5c3b-01	American Standard Version (Byzantine Text with Apocrypha)		https://api.bible/bibles/685d1470fe4d5c3b-01	american-standard-version-2021	american-standard-version	22	177	5202	116607	true
bibles.org	eng	a81b73293d3080c9-01	Amplified Bible		https://api.bible/bibles/a81b73293d3080c9-01	amplified-bible-2015	amplified-bible	27	260	7947	229121	false
bibles.org	eng	bba9f40183526463-01	Berean Standard Bible		https://api.bible/bibles/bba9f40183526463-01	berean-standard-bible-2016	berean-standard-bible	27	260	7941	171804	true
bibles.org	eng	55212e3cf5d04d49-01	Cambridge Paragraph Bible of the KJV		https://api.bible/bibles/55212e3cf5d04d49-01	king-james-version-1873-cambridge-paragraph	king-james-version	27	260	7957	180595	true
bibles.org	eng	555fef9a6cb31151-01	Contemporary English Version		https://api.bible/bibles/555fef9a6cb31151-01	contemporary-english-version-2006-2nd-edition	contemporary-english-version	27	260	7855	180328	false
bibles.org	eng	108aa0495c0f45fb-01	Contemporary English Version (Anglicised) 2012		https://api.bible/bibles/108aa0495c0f45fb-01	contemporary-english-version-2012-anglicised	contemporary-english-version	27	260	7855	181075	false
bibles.org	eng	555fef9a6cb31151-02	Contemporary English Version Interconfessional Edition		https://api.bible/bibles/555fef9a6cb31151-02	contemporary-english-version-2006-2nd-edition-interconfessional	contemporary-english-version	27	260	7855	180328	false
bibles.org	eng	555fef9a6cb31151-03	Contemporary English Version Old tradition		https://api.bible/bibles/555fef9a6cb31151-03	contemporary-english-version-2006-2nd-edition-old-tradition	contemporary-english-version	27	260	7855	180328	false
bibles.org	eng	179568874c45066f-01	Douay-Rheims American 1899		https://api.bible/bibles/179568874c45066f-01	douay-rheims-1899-american-edition	douay-rheims	27	260	7951	178978	true
bibles.org	eng	26eb483046b561dc-01	Douay-Rheims Challoner Revision 1752 ✠		https://api.bible/bibles/26eb483046b561dc-01	douay-rheims-1752-challoner-revision	douay-rheims	27	260	7949	179006	true
bibles.org	eng	55ec700d9e0d77ea-01	English Majority Text Version		https://api.bible/bibles/55ec700d9e0d77ea-01	english-majority-text-version-2014	english-majority-text-version	27	260	7954	181686	true
bibles.org	eng	f421fe261da7624f-01	English Standard Version Revision 2016		https://api.bible/bibles/f421fe261da7624f-01	english-standard-version-2016	english-standard-version	27	260	7941	175498	false
bibles.org	eng	65eec8e0b60e656b-01	Free Bible Version		https://api.bible/bibles/65eec8e0b60e656b-01	free-bible-version-4-1	free-bible-version	27	260	7937	176359	true
bibles.org	eng	0f6d909d7b736d4f-01	Free Bible Version		https://api.bible/bibles/0f6d909d7b736d4f-01	free-bible-version-2018-pre-v4	free-bible-version	27	260	7941	176298	true
bibles.org	eng	c315fa9f71d4af3a-01	Geneva Bible		https://api.bible/bibles/c315fa9f71d4af3a-01	geneva-bible-eng-1599	geneva-bible-eng	27	260	7953	181932	true
bibles.org	eng	de08848bef5aa286-02	Good News Bible (British Verison) 2017		https://api.bible/bibles/de08848bef5aa286-02	good-news-2017-british	good-news	27	260	7897	193312	false
