edition_id	display_name	publication_year	copyright_status	copyright_statement	copyright_statement_source_url	license	rights_holder
eib-nowe-przymierze-literary-2016	2016	2016	copyrighted
eng-darby-translation-1884	1884	1884	public_domain
eng-darby-translation-1890	1890	1890	public_domain
eng-new-world-translation-2013	2013	2013	copyrighted
eng-new-world-translation-2025	2025	2025	copyrighted
english-interlinear-of-the-orthodox-yiddish-brit-chadasha-2024	2024	2024	copyrighted
english-majority-text-version-2014	2014	2014	open_license	Copyright © 2014 Dr. Paul W. Esposito. This translation is made available to you under the terms of the Creative Commons Attribution-Noncommercial-No Derivatives license 4.0.	https://ebible.org/find/show.php?id=engEMTV	CC-BY-NC-ND-4.0	Paul W. Esposito
english-revised-version-1885	1885	1885	public_domain
english-standard-version-2001	2001	2001	copyrighted
english-standard-version-2002-anglicised	2002 anglicised	2002	copyrighted
english-standard-version-2007	2007	2007	copyrighted
english-standard-version-2016	2016	2016	copyrighted
english-standard-version-2018	2018	2018	copyrighted
english-standard-version-2025	2025	2025	copyrighted
evangelical-heritage-version-2017	2017	2017	copyrighted
evangelical-heritage-version-2021	2021	2021	copyrighted
expanded-bible-2011	2011	2011	copyrighted
explained-bible-2004	2004	2004	copyrighted
faithful-version-2011	2011	2011	copyrighted
family-35-nt-2016	2016	2016	open_license	copyright © 2016 Wilbur N. Pickering, ThM, PhD. This translation is made available to you under the terms of the Creative Commons Attribution Share-Alike license 4.0.	https://ebible.org/find/show.php?id=engF35	CC-BY-SA-4.0	Wilbur N. Pickering
first-nations-version-2021	2021	2021	copyrighted
fra-darby-translation-1885	1885	1885	public_domain
fra-jerusalem-bible-1999	1999	1999	copyrighted
fra-new-world-translation-2025	2025	2025	copyrighted
frainc-comtois-1864	1864	1864	public_domain
free-bible-version-2018-pre-v4	2018 pre v4	2018	open_license	Copyright © 2018 Dr. Jonathan Gallagher. This translation is made available to you under the terms of the Creative Commons Attribution Share-Alike license 4.0.	https://ebible.org/find/show.php?id=engfbv	CC-BY-SA-4.0	Jonathan Gallagher
free-bible-version-4-1	4.1	2025	open_license	the Free Bible Version though copyrighted is made available to all under a Creative Commons Attribution-Share Alike (BY-SA) 4.0 International license which allows use and redistribution as long as it is identified as the Free Bible Version, any changes are identified, and derivatives are issued with the same license as the original.	https://www.freebibleversion.org/	CC-BY-SA-4.0	Jonathan Gallagher
free-bible-version-4-3	4.3	2025	open_license	the Free Bible Version though copyrighted is made available to all under a Creative Commons Attribution-Share Alike (BY-SA) 4.0 International license which allows use and redistribution as long as it is identified as the Free Bible Version, any changes are identified, and derivatives are issued with the same license as the original.	https://www.freebibleversion.org/	CC-BY-SA-4.0	Jonathan Gallagher
french-king-james-bible-2006	2006	2006	open_license	"Ce livre, ou quelque portion que ce soit, peuvent être reproduits et
distribués librement sous différents formats (impression, numérisation,
version audio, intégration à une appli mobile, etc.), sous réserve
seulement de ne pas y apporter la moindre modification (auquel cas des
peines pourront être encourues), que ce soit à but lucratif ou non
lucratif. — Nadine L. Stratford
"	http://www.kingjamesfrancaise.net/accueil.html	LicenseRef-KingJamesFrancaise	Nadine L. Stratford
french-model-translation-2025	2025	2025	copyrighted
geneva-bible-eng-1587	1587	1587	public_domain
geneva-bible-eng-1599	1599	1599	public_domain
geneva-bible-fra-1669	1669	1669	public_domain
geneva-bible-fra-1979	1979	1979	copyrighted
godbey-new-testament-1902	1902	1902	public_domain
gods-word-translation-1995	1995	1995	copyrighted
good-news-1992-2nd-edition	1992 2nd edition	1992	copyrighted
good-news-1992-2nd-edition-us	1992 2nd edition us	1992	copyrighted
good-news-2012	2012	2012	copyrighted
good-news-2017-british	2017 british	2017	copyrighted
good-news-2017-british-catholic	2017 british catholic	2017	copyrighted
greens-literal-translation-1985	1985	1985	copyrighted
grzymala-1936-1st-edition	1936 1st edition	1936	public_domain
grzymala-1937-2nd-edition	1937 2nd edition	1937	public_domain
haweis-new-testament-1795	1795	1795	public_domain
hb-pratt-1929	1929	1929	public_domain
holman-christian-standard-bible-2004	2004	2004	copyrighted
holman-christian-standard-bible-2009	2009	2009	copyrighted
interconfessionale-in-lingua-corrente-2014-3rd-edition	2014 — 3ª edizione	2014	copyrighted	"This translation was published by the Editrice Elledici and the Società Biblica Britannica e Forestiera (Bible Society in Italy) in 2014.
If you are interested in obtaining a printed copy, please contact Editrice Elledici at http://www.elledici.org/
Questa NUOVA VERSIONE di PAROLA DEL SIGNORE è il frutto di anni di lavoro e aggiorna, secondo i recenti studi biblici, la precedente traduzione che ha avuto un successo vastissimo e consolidato. Si distingue dalle altre perché cerca di rendere il testo ebraico e greco con parole e forme della lingua italiana di tutti i giorni: la lingua corrente. Non aggiunge e non toglie alcuna informazione contenuta nei testi originali, ma cerca di comunicare al lettore di oggi proprio quel che il testo diceva agli antichi lettori. Protestanti e cattolici hanno lavorato insieme in questa traduzione e insieme la presentano ai lettori. È una traduzione interconfessionale, accolta da tutte le confessioni cristiane, approvata dall’Alleanza Biblica Universale e da parte cattolica dall’’autorità ecclesiastica (Conferenza Episcopale Italiana). Questo testo è offerto ad ogni persona nella comune convinzione che la Bibbia “può dare saggezza che conduce alla salvezza per mezzo della fede in Cristo Gesù” (2 Timoteo 3,15).
"	https://www.bible.com/versions/1197-icl00p-parola-del-signore-la-bibbia-in-lingua-corrente
international-childrens-bible-2015	2015	2015	copyrighted
international-standard-version-1-2-1	1.2.1	2012	copyrighted
international-standard-version-2014-v2	2014 v2	2014	copyrighted
israeli-authorized-version-2001	2001	2001	copyrighted
ita-new-world-translation-2025	2025	2025	copyrighted	"Copyright per questa pubblicazione
Copyright © 2026 Watch Tower Bible and Tract Society of Pennsylvania.
"	https://www.jw.org/it/biblioteca-digitale/bibbia/nwt/TitoloPagina-degli-editori/
james-moffatt-new-testament-1913	1913	1913	public_domain
jb-phillips-new-testament-1958	1958	1958	copyrighted
john-wesley-etheridge-1849	1849	1849	public_domain
jubilee-bible-2000	2000	2000	open_license	Rights: Copyright 2000, 2001 Russell Martin Stendal May be quoted in other works. May be used freely in all non-profit, non-commercial Bible distribution endeavors provided the content is not altered. For all commercial reproduction express written permission from the publisher is required. Ransom Press Internacional 10160 Main Dr. Bonita Springs, FL 34135	https://gratis.bible/en/jubl2000/	LicenseRef-JubileeBible-Stendal	Russell Martin Stendal
junemann-bible-1928	1928	1928	public_domain
king-james-version-2000-2000	2000	2000	copyrighted
king-james-version-1611	1611	1611	public_domain
king-james-version-1769	1769	1769	public_domain
king-james-version-1873-cambridge-paragraph	1873 cambridge paragraph	1873	public_domain
king-james-version-1954-bible-society-paragraphed	1954 bible society paragraphed	1954	copyrighted
king-james-version-1962-american-edition	1962 american edition	1962	copyrighted
la-bibbia-della-gioia-2005	2005	2005	copyrighted	"Copyright Information
La Bibbia della Gioia
Copyright © 1997, 2006 by Biblica, Inc.® Used by permission. All rights reserved worldwide.
These Scriptures are copyrighted and have been made available on the Internet for your personal use only. Any other use including, but not limited to, copying or reposting on the Internet is prohibited. These Scriptures may not be altered or modified in any form and must remain in their original context. These Scriptures may not be sold or otherwise offered for sale.These Scriptures are not shareware and may not be duplicated.These Scriptures are not public domain.
"	https://www.biblegateway.com/versions/La-Bibbia-della-Gioia-BDG/
la-biblia-de-las-americas-1986	1986	1986	copyrighted
la-biblia-de-las-americas-1997	1997	1997	copyrighted
la-biblia-en-espanol-sencillo-2018	2018	2018	open_license	copyright © 2018, 2019 AudioBiblia.org / Irma Flores. This translation is made available to you under the terms of the Creative Commons Attribution license 4.0.	https://ebible.org/find/show.php?id=spabes	CC-BY-4.0	AudioBiblia.org / Irma Flores
la-biblia-hispanoamericana-interconfesional-2011	2011	2011	copyrighted
la-biblia-latinoamericana-1995	1995	1995	copyrighted
la-palabra-2010-3rd-edition-espana	2010 3rd edition España	2010	copyrighted
la-palabra-2010-3rd-edition-hispanoamericana	2010 3rd edition Hispanoamericana	2010	copyrighted
la-parola-e-vita-2006	2006	2006	copyrighted	"La Parola è Vita
Copyright © 1981, 1994 di Biblica, Inc.®
Usato con permesso. Tutti i diritti riservati in tutto il mondo.
"	https://www.laparola.net/testo.php?riferimento=Giov%203:16&versioni[]=Bibbia%20della%20Gioia
lamsa-bible-1933	1933	1933	copyrighted
lausanne-1872	1872	1872	public_domain
legacy-standard-bible-2021	2021	2021	copyrighted
lenguaje-actual-2002	2002	2002	copyrighted
lenguaje-actual-2002-interconfesional	2002 interconfesional	2002	copyrighted
lexham-english-bible-2010	2010	2010	open_license	Scripture quotations marked (LEB) are from the Lexham English Bible (http://lexhamenglishbible.com/). Copyright 2012 Logos Bible Software. Lexham is a registered trademark of Logos Bible Software (http://lexhampress.com/).	https://web.archive.org/web/20230601000000/https://lexhampress.com/leb-license	LicenseRef-LexhamEnglishBible	Logos Bible Software
lexham-english-bible-2012	2012	2012	open_license	Scripture quotations marked (LEB) are from the Lexham English Bible (http://lexhamenglishbible.com/). Copyright 2012 Logos Bible Software. Lexham is a registered trademark of Logos Bible Software (http://lexhampress.com/).	https://web.archive.org/web/20230601000000/https://lexhampress.com/leb-license	LicenseRef-LexhamEnglishBible	Logos Bible Software
literal-emphasis-translation-2015	2015	2015	open_license	The LET Bible is a free uncopyrighted New Testament that translators and churches around the world are free to use anywhere. It is largely a reference study Bible. (https://letbible.org/)	https://letbible.org/	LicenseRef-LET-Uncopyrighted
literal-standard-version-2020	2020	2020	open_license	copyright © 2020 Covenant Press. This translation is made available to you under the terms of the Creative Commons Attribution Share-Alike license 4.0.	https://ebible.org/find/show.php?id=engLSV	CC-BY-SA-4.0	Covenant Press
living-bible-1971	1971	1971	copyrighted
louis-claude-fillion-1904	1904	1904	public_domain
louis-segond-1910	1910	1910	public_domain
mace-new-testament-1729	1729	1729	public_domain
majority-text-version-2014	2014	2014	open_license	Copyright © 2014 Dr. Paul W. Esposito. This translation is made available to you under the terms of the Creative Commons Attribution-Noncommercial-No Derivatives license 4.0.	https://ebible.org/find/show.php?id=engEMTV	CC-BY-NC-ND-4.0	Paul W. Esposito
mariawici-1921-1st-edition	1921 1st edition	1921	copyrighted
martini-1781	1781	1781	public_domain
mazurkiewicz-2019-1st-edition	2019 1st edition	2019	copyrighted
mit-idiomatic-translation-of-the-new-testament-2006	2006	2006	copyrighted
modern-english-version-2014	2014	2014	copyrighted
modern-english-version-2024	2024	2024	copyrighted
mounce-reverse-interlinear-new-testament-2011	2011	2011	copyrighted
murdock-peshitta-1852	1852	1852	public_domain
names-of-god-bible-2011	2011	2011	copyrighted
neo-crampon-libre-2022	2022	2022	open_license	Copyright © 2022 Fraternité de Tibériade. This translation is made available to you under the terms of the Creative Commons Attribution Share-Alike license 4.0.	https://ebible.org/find/show.php?id=francl	CC-BY-SA-4.0	Fraternité de Tibériade
net-bible-2006-v1	2006 v1	2006	open_license	Scripture quoted by permission. Quotations designated (NET) are from the NET Bible® copyright ©1996, 2019 by Biblical Studies Press, L.L.C. http://netbible.com All rights reserved	https://thebible.org/gt/notices/net.html	LicenseRef-NETBible-MinistryFirst	Biblical Studies Press, L.L.C.
net-bible-2017-v2	2017 v2	2017	open_license	Scripture quoted by permission. Quotations designated (NET) are from the NET Bible® copyright ©1996, 2019 by Biblical Studies Press, L.L.C. http://netbible.com All rights reserved	https://thebible.org/gt/notices/net.html	LicenseRef-NETBible-MinistryFirst	Biblical Studies Press, L.L.C.
new-american-bible-revised-edition-1968	1968	1968	copyrighted
new-american-bible-revised-edition-1986	1986	1986	copyrighted
new-american-standard-bible-1977	1977	1977	copyrighted
new-american-standard-bible-1995	1995	1995	copyrighted
new-american-standard-bible-2020	2020	2020	copyrighted
new-catholic-bible-2015	2015	2015	copyrighted
new-century-version-1983	1983	1983	copyrighted
new-century-version-1991	1991	1991	copyrighted
new-century-version-2005	2005	2005	copyrighted
new-heart-english-bible-2025	2025	2025	public_domain
new-international-readers-version-1998	1998	1998	copyrighted
new-international-readers-version-2014	2014	2014	copyrighted
new-international-version-1984	1984	1984	copyrighted
new-international-version-1984-anglicised	1984 anglicised	1984	copyrighted
new-international-version-2011	2011	2011	copyrighted
new-international-version-2011-anglicised	2011 anglicised	2011	copyrighted
new-king-james-version-1979	1979	1979	copyrighted
new-life-version-1969	1969	1969	copyrighted
new-living-translation-2013	2013	2013	copyrighted
new-living-translation-2015	2015	2015	copyrighted
new-living-translation-2016-catholic	2016 catholic	2016	copyrighted
new-matthew-bible-2016	2016	2016	copyrighted
new-messianic-version-bible-2018	2018	2018	open_license	New Messianic Version Bible. Provided by TovRose. Licensed under Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0).	https://www.open.bible/bibles/6977cc9a782f9578b1758e43	CC-BY-NC-ND-4.0	TovRose
new-revised-standard-version-1989	1989	1989	copyrighted
new-revised-standard-version-1989-anglicised	1989 anglicised	1989	copyrighted
new-revised-standard-version-1989-anglicised-catholic	1989 anglicised catholic	1989	copyrighted
new-revised-standard-version-1989-old-tradition	1989 old tradition	1989	copyrighted
new-revised-standard-version-1991-catholic	1991 catholic	1991	copyrighted
new-revised-standard-version-1995-anglicised	1995 anglicised	1995	copyrighted
new-revised-standard-version-2021	2021	2021	copyrighted
new-revised-standard-version-2021-updated-edition	2021 updated edition	2021	copyrighted
nouvelle-edition-de-geneve-1979	1979	1979	copyrighted
nouvelle-segond-revisee-1978	1978	1978	copyrighted
nouvelle-segond-2002	2002	2002	copyrighted
nowa-biblia-gdanska-2012	2012	2012	copyrighted
nowy-przeklad-dynamiczny-2021	2021	2021	copyrighted
noyes-bible-1869	1869	1869	public_domain
nt-wright-new-testament-for-everyone-2023-3rd-edition	2023 3rd edition	2023	copyrighted
nueva-biblia-de-las-americas-2005	2005	2005	copyrighted
nueva-biblia-latinoamericana-de-hoy-2005	2005	2005	copyrighted
nueva-biblia-viva-2008	2008	2008	copyrighted
nueva-traduccion-viviente-2010	2010	2010	copyrighted
nueva-version-internacional-1999	1999	1999	copyrighted
nueva-version-internacional-2015	2015	2015	copyrighted
nueva-version-internacional-2018	2018	2018	copyrighted
nueva-version-internacional-2022	2022	2022	copyrighted
nuova-diodati-1991	1991	1991	copyrighted	"The 1991 La Nuova Diodati is copyrighted and used by permission.
Copyright (c) 1991, La Buona Novella s.c.r.l.
Contrada Restinco - Casella Postale 27 - 72001 Brindisi, Italy

All this material may be freely copied and shared with your friends.
If you wish to use this material for other purposes, please contact us to obtain the latest accurate copy.
"	https://gratis.bible/it/lnd_1991/
nuova-riveduta-1994	1994	1994	copyrighted	"Copyright Information
Testo biblico della Sacra Bibbia Nuova Riveduta
Copyright © 1994 Società Biblica di Ginevra
Usato Con Permesso. Tutti I diritti riservati
"	https://www.bible.com/versions/123-nr94-nuova-riveduta-1994
nuova-riveduta-2006	2006	2006	copyrighted	"Testo de La Sacra Bibbia Nuova Riveduta 2006– versione standard
Copyright © 2008 Società Biblica di Ginevra.
Usato con permesso. Tutti i diritti riservati.
"	https://www.bible.com/versions/122-nr06-nuova-riveduta-2006
open-english-bible-2025-5-commonwealth	2025 5 commonwealth	2025	public_domain
open-english-bible-2025-5-us	2025 5 us	2025	public_domain
orthodox-jewish-bible-2002	2002	2002	open_license	Copyright © 2002-2011, 2021, 2024 Artists for Israel International. This translation is made available to you under the terms of the Creative Commons Attribution license 4.0.	https://ebible.org/find/show.php?id=engojb	CC-BY-4.0	Artists for Israel International
orthodox-jewish-bible-2011	2011	2011	open_license	Copyright © 2002-2011, 2021, 2024 Artists for Israel International. This translation is made available to you under the terms of the Creative Commons Attribution license 4.0.	https://ebible.org/find/show.php?id=engojb	CC-BY-4.0	Artists for Israel International
orthodox-jewish-bible-2023	2023	2023	open_license	Copyright © 2002-2011, 2021, 2024 Artists for Israel International. This translation is made available to you under the terms of the Creative Commons Attribution license 4.0.	https://ebible.org/find/show.php?id=engojb	CC-BY-4.0	Artists for Israel International
ostervald-godieu-levigilant-2008	2008	2008	copyrighted
ostervald-1744	1744	1744	public_domain
ostervald-1996	1996	1996	public_domain
palabra-de-dios-para-ti-2020	2020	2020	open_license	Copyright © 2020 Asociacion Biblica Latinoamericana. This translation is made available to you under the terms of the Creative Commons Attribution license 4.0.	https://ebible.org/find/show.php?id=spapddpt	CC-BY-4.0	Asociacion Biblica Latinoamericana
palabra-de-dios-para-todos-2000	2000	2000	copyrighted
palabra-de-dios-para-todos-2014	2014	2014	copyrighted
palabra-de-dios-para-todos-2015	2015	2015	copyrighted
parole-de-vie-2000	2000	2000	copyrighted
parole-de-vie-2017	2017	2017	copyrighted
parole-vivante-2013-2010	2013 2010	2013	copyrighted
perret-gentil-rilliet-1861	1861	1861	public_domain
peshitta-espanol-2017	2017	2017	copyrighted
pirot-clamer-1949	1949	1949	copyrighted
plain-english-version-2021	2021	2021	open_license	Plain English Version © 2026 by Wycliffe Bible Translators Australia, licensed under Creative Commons Attribution-Share Alike 4.0 International (CC BY SA 4.0)	https://ebible.org/find/show.php?id=engPEV	CC-BY-SA-4.0	Wycliffe Bible Translators Australia
pol-new-world-translation-2025	2025	2025	copyrighted
przeklad-torunski-2023	2023	2023	copyrighted
radiate-new-testament-2020	2020	2020	copyrighted
rakowski-nt-1606	1606	1606	public_domain
reina-valera-actualizada-2015	2015	2015	copyrighted
reina-valera-antigua-1602	1602	1602	public_domain
reina-valera-contemporanea-2009	2009	2009	copyrighted
reina-valera-gomez-2004	2004	2004	open_license	Completely prohibited to print, or reproduce the text for the purpose of profit. The rights reserved are not for sale, and are only to protect us against any organization, or person that wants to take possession of the text. All Churches or organizations that want to print or reproduce it for free distribution have the clear liberty to do so without need to pay royalties, always and when they do not change any of the written words.	https://ebible.org/sparvg/copyright.htm	LicenseRef-ReinaValeraGomez	Humberto Gómez Caballero
reina-valera-revisada-1977	1977	1977	copyrighted
reina-valera-revised-version-2014	2014	2014	copyrighted
reina-valera-updated-1989	1989	1989	copyrighted
